Designator,Mid X,Mid Y,Rotation,Layer
BT1,0,-7.8486,0,top
BZ1,0,9.398,90,top
C1,-10.541,1.0668,-90,top
C2,7.9502,4.2926,180,top
C3,9.8806,4.2926,0,top
D1,0,16.791,180,top
D3,9.5504,5.588,0,top
D4,-6.8834,5.0038,90,top
D5,-9.2456,1.0668,-90,top
Q1,-9.2456,4.445,90,top
R1,-3.429,16.637,0,top
R2,-6.6802,12.6746,90,top
R3,-10.541,-1.4732,-90,top
R4,-6.9362,2.7686,0,top
R5,7.112,2.286,90,top
R6,-11.049,2.9972,90,top
R7,-11.049,4.953,-90,top
SW1,9.3218,9.398,-90,top
SW2,-9.3218,9.398,90,top
U1,9.398,1.6764,90,top
