Designator,Footprint,Quantity,Value,LCSC Part #
BT1,MY-2032-08,1,Battery_Cell,MY-2032-08 
BZ1,GSC1230YB-3V4000,1,Buzzer,GSC1230YB-3V4000
C2,0402,1,1u,CL05A105KP5NNNC
C3,0402,1,100n,0402F104M500NT
D1,XL-2810UYC,1,LED,XL-2810UYC 
"D3, D4",0603,2,Schottky,CD0603-B0240R
D5,0603,1,2.7v,CZRU52C2V7-HF 
Q1,SON65P200X200X80-8N,1,"SSM6L61NU,LF",DMC1229UFDB-7
R1,0402,1,100,0402WGF1000TCE
"R2, R6",0402,2,1k,0402WGF1001TCE
R3,0402,1,100k,0402WGF1003TCE 
"R4, R5, R7",0402,3,10k,RCA0210KJLF 
"SW1, SW2",SW_Push_1P1T-SH_NO_CK_KMR2xxG,2,SW_Push_Shielded,KMR221GLFS
U1,SOT-23-6,1,ATtiny10-TS,ATTINY10-TSHR
