Designator,Mid X,Mid Y,Rotation,Layer
BT1,0.0,-7.8486,0.0,top
BZ1,0.0,9.398,90.0,top
C2,7.9502,4.2926,180.0,top
C3,9.8806,4.2926,0.0,top
D1,0.0,16.791,180.0,top
D3,9.5504,5.588,0.0,top
D4,-6.8834,5.0038,90.0,top
D5,-9.2456,1.0668,270.0,top
J1,0.0,9.422843,0.0,bottom
Q1,-9.2456,4.445,90.0,top
R1,-3.429,16.637,0.0,top
R2,-6.6802,12.6746,90.0,top
R3,-10.541,-1.4732,270.0,top
R4,-6.9362,2.7686,0.0,top
R5,7.112,2.286,90.0,top
R6,-11.049,2.9972,90.0,top
R7,-11.049,4.953,270.0,top
SW1,9.3218,9.398,270.0,top
SW2,-9.3218,9.398,90.0,top
U1,9.398,1.6764,270.0,top
