Time (s),Channel 1 (V)
-0.002533173,-0.026227646
-0.002526923,-0.05075062
-0.002520673,-0.034401971
-0.002514423,-0.067099268
-0.002508173,-0.075273593
-0.002501923,-0.083447917
-0.002495673,-0.091622242
-0.002489423,-0.10797089
-0.002483173,-0.124319539
-0.002476923,-0.173365486
-0.002470673,-0.148842512
-0.002464423,-0.18153981
-0.002458173,-0.18153981
-0.002451923,-0.214237107
-0.002445673,-0.222411432
-0.002439423,-0.197888459
-0.002433173,-0.197888459
-0.002426923,-0.206062783
-0.002420673,-0.214237107
-0.002414423,-0.246934405
-0.002408173,-0.230585756
-0.002401923,-0.189714134
-0.002395673,-0.189714134
-0.002389423,-0.173365486
-0.002383173,-0.116145215
-0.002376923,-0.148842512
-0.002370673,-0.132493864
-0.002364423,-0.083447917
-0.002358173,-0.10797089
-0.002351923,-0.083447917
-0.002345673,-0.058924944
-0.002339423,-0.026227646
-0.002333173,-0.042576295
-0.002326923,-0.009878998
-0.002320673,-0.034401971
-0.002314423,-0.05075062
-0.002308173,-0.10797089
-0.002301923,-0.091622242
-0.002295673,-0.132493864
-0.002289423,-0.157016837
-0.002283173,-0.189714134
-0.002276923,-0.197888459
-0.002270673,-0.206062783
-0.002264423,-0.214237107
-0.002258173,-0.238760081
-0.002251923,-0.214237107
-0.002245673,-0.214237107
-0.002239423,-0.197888459
-0.002233173,-0.214237107
-0.002226923,-0.18153981
-0.002220673,-0.18153981
-0.002214423,-0.165191161
-0.002208173,-0.165191161
-0.002201923,-0.165191161
-0.002195673,-0.18153981
-0.002189423,-0.173365486
-0.002183173,-0.197888459
-0.002176923,-0.222411432
-0.002170673,-0.246934405
-0.002164423,-0.279631703
-0.002158173,-0.295980351
-0.002151923,-0.328677649
-0.002145673,-0.336851973
-0.002139423,-0.369549271
-0.002133173,-0.38589792
-0.002126923,-0.394072244
-0.002120673,-0.394072244
-0.002114423,-0.369549271
-0.002108173,-0.369549271
-0.002101923,-0.320503325
-0.002095673,-0.312329
-0.002089423,-0.255108729
-0.002083173,-0.238760081
-0.002076923,-0.214237107
-0.002070673,-0.173365486
-0.002064423,-0.132493864
-0.002058173,-0.124319539
-0.002051923,-0.091622242
-0.002045673,-0.116145215
-0.002039423,-0.067099268
-0.002033173,-0.075273593
-0.002026923,-0.091622242
-0.002020673,-0.091622242
-0.002014423,-0.083447917
-0.002008173,-0.132493864
-0.002001923,-0.140668188
-0.001995673,-0.18153981
-0.001989423,-0.197888459
-0.001983173,-0.222411432
-0.001976923,-0.238760081
-0.001970673,-0.246934405
-0.001964423,-0.263283054
-0.001958173,-0.255108729
-0.001951923,-0.287806027
-0.001945673,-0.312329
-0.001939423,-0.295980351
-0.001933173,-0.304154676
-0.001926923,-0.263283054
-0.001920673,-0.312329
-0.001914423,-0.271457378
-0.001908173,-0.271457378
-0.001901923,-0.328677649
-0.001895673,-0.320503325
-0.001889423,-0.328677649
-0.001883173,-0.328677649
-0.001876923,-0.336851973
-0.001870673,-0.345026298
-0.001864423,-0.369549271
-0.001858173,-0.369549271
-0.001851923,-0.369549271
-0.001845673,-0.410420893
-0.001839423,-0.402246569
-0.001833173,-0.434943866
-0.001826923,-0.418595217
-0.001820673,-0.451292515
-0.001814423,-0.434943866
-0.001808173,-0.459466839
-0.001801923,-0.459466839
-0.001795673,-0.475815488
-0.001789423,-0.459466839
-0.001783173,-0.467641164
-0.001776923,-0.451292515
-0.001770673,-0.443118191
-0.001764423,-0.443118191
-0.001758173,-0.459466839
-0.001751923,-0.426769542
-0.001745673,-0.443118191
-0.001739423,-0.418595217
-0.001733173,-0.459466839
-0.001726923,-0.459466839
-0.001720673,-0.402246569
-0.001714423,-0.426769542
-0.001708173,-0.410420893
-0.001701923,-0.402246569
-0.001695673,-0.426769542
-0.001689423,-0.418595217
-0.001683173,-0.410420893
-0.001676923,-0.394072244
-0.001670673,-0.410420893
-0.001664423,-0.38589792
-0.001658173,-0.38589792
-0.001651923,-0.402246569
-0.001645673,-0.418595217
-0.001639423,-0.443118191
-0.001633173,-0.410420893
-0.001626923,-0.410420893
-0.001620673,-0.410420893
-0.001614423,-0.38589792
-0.001608173,-0.402246569
-0.001601923,-0.426769542
-0.001595673,-0.38589792
-0.001589423,-0.369549271
-0.001583173,-0.369549271
-0.001576923,-0.353200622
-0.001570673,-0.353200622
-0.001564423,-0.320503325
-0.001558173,-0.336851973
-0.001551923,-0.312329
-0.001545673,-0.304154676
-0.001539423,-0.279631703
-0.001533173,-0.312329
-0.001526923,-0.279631703
-0.001520673,-0.287806027
-0.001514423,-0.312329
-0.001508173,-0.312329
-0.001501923,-0.328677649
-0.001495673,-0.312329
-0.001489423,-0.336851973
-0.001483173,-0.336851973
-0.001476923,-0.345026298
-0.001470673,-0.320503325
-0.001464423,-0.328677649
-0.001458173,-0.304154676
-0.001451923,-0.287806027
-0.001445673,-0.271457378
-0.001439423,-0.263283054
-0.001433173,-0.246934405
-0.001426923,-0.222411432
-0.001420673,-0.230585756
-0.001414423,-0.197888459
-0.001408173,-0.214237107
-0.001401923,-0.18153981
-0.001395673,-0.214237107
-0.001389423,-0.214237107
-0.001383173,-0.238760081
-0.001376923,-0.238760081
-0.001370673,-0.246934405
-0.001364423,-0.279631703
-0.001358173,-0.312329
-0.001351923,-0.312329
-0.001345673,-0.295980351
-0.001339423,-0.345026298
-0.001333173,-0.328677649
-0.001326923,-0.345026298
-0.001320673,-0.345026298
-0.001314423,-0.312329
-0.001308173,-0.345026298
-0.001301923,-0.320503325
-0.001295673,-0.287806027
-0.001289423,-0.263283054
-0.001283173,-0.238760081
-0.001276923,-0.214237107
-0.001270673,-0.238760081
-0.001264423,-0.230585756
-0.001258173,-0.222411432
-0.001251923,-0.238760081
-0.001245673,-0.222411432
-0.001239423,-0.222411432
-0.001233173,-0.255108729
-0.001226923,-0.246934405
-0.001220673,-0.271457378
-0.001214423,-0.255108729
-0.001208173,-0.287806027
-0.001201923,-0.238760081
-0.001195673,-0.230585756
-0.001189423,-0.222411432
-0.001183173,-0.197888459
-0.001176923,-0.124319539
-0.001170673,-0.116145215
-0.001164423,-0.083447917
-0.001158173,-0.05075062
-0.001151923,-0.034401971
-0.001145673,-0.026227646
-0.001139423,-0.026227646
-0.001133173,-0.05075062
-0.001126923,-0.091622242
-0.001120673,-0.132493864
-0.001114423,-0.214237107
-0.001108173,-0.287806027
-0.001101923,-0.38589792
-0.001095673,-0.500338461
